en,zh,k_en,k_zh,k_min,assigned_domain,confidence,vote_breakdown
ad damnum pleadings,要求作出損害賠償的狀書,0,0,0,procedure,0.8571,"{""criminal"": 1, ""procedure"": 6}"
admissible evidence,可接納的證據,8,8,8,procedure,0.8571,"{""procedure"": 6, ""criminal"": 1}"
advertent negligence,罔顧後果的疏忽,0,0,0,criminal,0.4286,"{""criminal"": 3, ""civil"": 3, ""procedure"": 1}"
aider by pleading over,藉申辯作出救助,0,0,0,labor_social,0.2857,"{""labor_social"": 2, ""criminal"": 1, ""procedure"": 2, ""civil"": 1, ""administrative"": 1}"
alimony,贍養費,3,8,3,civil,0.5714,"{""civil"": 4, ""criminal"": 2, ""labor_social"": 1}"
approbate and reprobate,取利拒責,0,0,0,criminal,0.4286,"{""administrative"": 1, ""procedure"": 2, ""criminal"": 3, ""constitutional"": 1}"
attestation,核簽條款,8,0,0,procedure,0.8571,"{""procedure"": 6, ""administrative"": 1}"
audi alteram partem,聽另一方之詞,0,0,0,administrative,0.4286,"{""administrative"": 3, ""constitutional"": 1, ""labor_social"": 1, ""civil"": 1, ""international"": 1}"
bailment,無酬委託,8,0,0,criminal,0.2857,"{""criminal"": 2, ""procedure"": 1, ""civil"": 2, ""constitutional"": 1, ""administrative"": 1}"
Caldwell recklessness,考德威爾魯莽,0,0,0,criminal,1.0,"{""criminal"": 7}"
Civil Service Regulations,公務員事務規例,0,0,0,administrative,0.7143,"{""administrative"": 5, ""international"": 1, ""constitutional"": 1}"
comity,友誼,0,1,0,civil,0.5714,"{""civil"": 4, ""labor_social"": 1, ""international"": 2}"
conspiracy to defraud,串謀欺詐,8,2,2,criminal,0.7143,"{""criminal"": 5, ""civil"": 2}"
Contractus legem ex conventione accipiunt.,合約的法律效力來自雙方的協議,0,0,0,civil,0.4286,"{""labor_social"": 1, ""international"": 2, ""civil"": 3, ""procedure"": 1}"
contributory negligence,共分疏忽,2,2,2,criminal,0.4286,"{""labor_social"": 2, ""civil"": 2, ""criminal"": 3}"
convict sb. of an offence,判某人罪名成立,0,0,0,criminal,1.0,"{""criminal"": 7}"
covenant,隨土地轉移的契諾,8,2,2,civil,0.5714,"{""international"": 1, ""civil"": 4, ""labor_social"": 1, ""procedure"": 1}"
Cunningham recklessness,坎寧安魯莽,0,0,0,criminal,1.0,"{""criminal"": 7}"
de bonis testatoris,立遺囑者的財產,0,0,0,civil,0.4286,"{""procedure"": 2, ""civil"": 3, ""criminal"": 1, ""administrative"": 1}"
de bonis testatoris ac si,如無立遺囑者財產則取遺產管理人財產,0,0,0,criminal,0.2857,"{""procedure"": 1, ""criminal"": 2, ""civil"": 2, ""administrative"": 1, ""international"": 1}"
de son tort,干預,0,8,0,civil,0.5714,"{""criminal"": 2, ""civil"": 4, ""procedure"": 1}"
dead pledge,死質押,0,0,0,civil,0.4286,"{""civil"": 3, ""international"": 1, ""procedure"": 1, ""criminal"": 2}"
die intestate,未立遺囑而去世,0,0,0,civil,0.5714,"{""civil"": 4, ""criminal"": 1, ""constitutional"": 2}"
Director of Public Prosecutions; DPP,刑事檢控專員,3,3,3,criminal,0.4286,"{""criminal"": 3, ""constitutional"": 3, ""administrative"": 1}"
discovery,自動作出文件透露,8,0,0,procedure,0.5714,"{""procedure"": 4, ""civil"": 2, ""constitutional"": 1}"
divorcement,完全分開,0,2,0,civil,0.4286,"{""civil"": 3, ""labor_social"": 1, ""international"": 2, ""criminal"": 1}"
duplicitous pleading,重複而無用的申辯,0,0,0,criminal,0.5714,"{""criminal"": 4, ""procedure"": 2, ""labor_social"": 1}"
easement,採光權,8,0,0,civil,0.8571,"{""civil"": 6, ""international"": 1}"
enfranchise,給予公民選舉權,0,0,0,constitutional,1.0,"{""constitutional"": 7}"
ex parte,單方面申請的許可,8,0,0,criminal,0.4286,"{""criminal"": 3, ""civil"": 2, ""procedure"": 2}"
ex parte materna,最近親,0,8,0,civil,0.4286,"{""criminal"": 2, ""civil"": 3, ""administrative"": 1, ""procedure"": 1}"
executor,擅自處理他人遺產的人,8,0,0,civil,0.5714,"{""civil"": 4, ""labor_social"": 2, ""criminal"": 1}"
