en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
trainer,經授權導師,8,2,2,-0.1061,0.6841
paid sickness days,有薪病假日,3,4,3,-0.0788,0.7494
retransmit,再傳送,2,8,2,-0.0708,0.6207
anniversary,周年日,8,8,8,-0.0692,0.7243
on-exchange,場內交易,2,2,2,-0.0677,0.4575
Receiver,破產管理署署長,8,8,8,-0.0664,0.5071
chargee,承押記人,8,8,8,-0.066,0.661
tow,拖曳,8,8,8,-0.0657,0.6563
crew,空勤人員,8,3,3,-0.0638,0.6709
recycler,循環再造者,2,2,2,-0.0616,0.5573
pharmaceutical,藥劑製品,8,8,8,-0.0609,0.7437
impounding,鎖押費,8,5,5,-0.0591,0.6895
laboratory,檢驗所,8,8,8,-0.0578,0.6004
recall,召回,8,8,8,-0.0576,0.5039
register,登記,8,8,8,-0.0572,0.6702
in good working order,良好操作狀態,8,8,8,-0.0554,0.6787
resumed,復開,8,6,6,-0.0553,0.4901
stoppage,途中停運權,8,6,6,-0.0547,0.5557
wireless,有線或無線的方式,8,2,2,-0.0547,0.4101
manufacturer,製造商的保證,8,4,4,-0.0545,0.6257
continuous,連續性,8,8,8,-0.0543,0.7149
circuit,集成電路,8,8,8,-0.0541,0.6458
radiocommunications,無線電通訊器具,8,8,8,-0.0533,0.7118
driving licence,駕駛執照,8,8,8,-0.0528,0.7549
reflecting,反射鏡,8,2,2,-0.0528,0.3789
contra,對銷項目,2,2,2,-0.0527,0.6434
on-line,聯機,5,6,5,-0.0516,0.6228
fractional,不足一股股份的證明書,4,2,2,-0.0515,0.6284
impound,沒收,8,8,8,-0.0514,0.7087
decal,移劃印花,2,2,2,-0.0514,0.7391
carelessly,不小心駕駛,8,2,2,-0.0512,0.6173
stress-testing,壓力測試,3,8,3,-0.0512,0.6067
controller,控制人,8,8,8,-0.0511,0.6455
expiry date,屆滿日期,8,8,8,-0.0511,0.6907
lease,租賃,8,8,8,-0.0507,0.682
recording,記錄,8,8,8,-0.0504,0.6663
flight,潛逃,8,8,8,-0.05,0.5392
retrieve,檢索,8,8,8,-0.0499,0.6596
operator,操作員,8,8,8,-0.0498,0.6333
integration,整合,3,7,3,-0.0494,0.7098
intoxicated,神智不清的人,2,2,2,-0.0492,0.7483
specimen signature,簽名樣本,4,3,3,-0.0482,0.8386
end-user,最終使用者,8,8,8,-0.0482,0.5987
indicia,標誌,3,8,3,-0.048,0.5948
mock,假拍賣,3,2,2,-0.0479,0.6177
slot,時段,8,8,8,-0.0477,0.642
market,市場,8,8,8,-0.0475,0.6672
idle,引擎空轉,2,8,2,-0.0475,0.3799
transmission,傳送,8,8,8,-0.047,0.7228
retrieval,檢索,8,8,8,-0.0466,0.5844
bus,私家巴士,8,8,8,-0.0465,0.7101
electronic transaction,電子交易,8,8,8,-0.0464,0.6725
loco parentis,身居父母地位,5,2,2,-0.0464,0.529
freight,運費,8,8,8,-0.0463,0.6911
consume,口服產品,8,2,2,-0.0459,0.669
expiration,有效期屆滿,8,8,8,-0.0454,0.6768
pharmacist,註冊藥劑師,8,8,8,-0.0451,0.8094
conductor,足球投注舉辦商,8,8,8,-0.045,0.5228
unlicensed,未領牌車輛,8,2,2,-0.045,0.7182
charterparty,租用合約,2,3,2,-0.0449,0.5907
expire,屆滿,8,8,8,-0.0447,0.6745
driving,危險駕駛引致他人死亡,8,4,4,-0.0447,0.569
electronic,電子形式,8,8,8,-0.0447,0.6226
empower,賦權,8,8,8,-0.0446,0.5692
co-surety,共同擔保人,2,2,2,-0.0445,0.422
informant,申報人,8,4,4,-0.0444,0.5737
electrical,註冊電業工程人員,8,8,8,-0.0441,0.7401
Drug Influence Recognition Observation,識認藥物影響觀測,2,2,2,-0.044,0.6793
deregister,撤銷註冊,8,8,8,-0.0439,0.7107
hotel,酒店牌照,8,4,4,-0.0438,0.669
manufacture,製造牌照,8,6,6,-0.0436,0.6215
book,登記冊,8,8,8,-0.0435,0.6732
successive,接續,8,8,8,-0.0433,0.5488
resumption,收回,8,8,8,-0.0427,0.5056
traffic,航空交通管制,8,3,3,-0.0427,0.6397
off-exchange,場外交易,3,2,2,-0.0426,0.5803
self-regulation,自律,2,4,2,-0.0425,0.5128
notional,假定,8,8,8,-0.0424,0.4894
cost-effectiveness,成本效益,6,5,5,-0.0423,0.6829
working order,操作狀態,8,8,8,-0.0423,0.6627
futures,期貨,8,8,8,-0.0422,0.498
malfunction,機能失常,8,5,5,-0.0419,0.6433
horizon,流動性期限,8,3,3,-0.0414,0.4954
non-smoking,非吸煙區,2,2,2,-0.0413,0.745
expiry,屆滿,8,8,8,-0.0412,0.7363
strand,擱淺,4,8,4,-0.0411,0.5959
escort,押送,8,8,8,-0.0409,0.7231
roadworthy,宜於道路上使用,8,8,8,-0.0405,0.686
punish,處罰,8,8,8,-0.0401,0.6868
non-performance,不履行,7,8,7,-0.0397,0.6061
heavy,重型貨車,8,8,8,-0.0397,0.6475
revolving,循環式包銷融通,8,4,4,-0.0396,0.5517
consignor,付貨人,8,8,8,-0.0393,0.5246
in its name,以其名義,8,8,8,-0.0393,0.5768
swap contract,掉期合約,8,8,8,-0.0392,0.6852
encryption,加密技術,2,2,2,-0.0391,0.6434
gallery,記者席,8,2,2,-0.0391,0.5892
staffing,人手,8,8,8,-0.0391,0.5816
negative,否定,8,8,8,-0.039,0.5356
distributable,可分派利潤,8,4,4,-0.039,0.5928
track,過往紀錄,8,6,6,-0.039,0.5609
per se,本身,8,8,8,-0.0389,0.6724
continued,持續失責,8,8,8,-0.0386,0.6044
watercraft,船艇,2,8,2,-0.0385,0.642
death,死亡,8,8,8,-0.0384,0.6575
