en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
Department of Administration,政務司,administrative,0.5714,administrative [administrative] sim=0.841,Administrative Secretary [administrative] sim=0.746,Labour Department [labor_social] sim=0.670,civil service [administrative] sim=0.641,Administrative Appeals Board [administrative] sim=0.624,employment [labor_social] sim=0.622,Government Laboratory [labor_social] sim=0.620,
administration,為收存財產而授予的遺產管理（書）,administrative,0.4286,administrative [administrative] sim=0.866,employment [labor_social] sim=0.752,constitution [constitutional] sim=0.684,succession [civil] sim=0.677,Administrative Secretary [administrative] sim=0.676,employee [labor_social] sim=0.669,civil service [administrative] sim=0.659,
super altum mare,在公海上,administrative,0.4286,ex parte materna [procedure] sim=0.614,ultra vires [administrative] sim=0.594,Nemo judex in causa sua [administrative] sim=0.580,de bonis testatoris ac si [civil] sim=0.574,audi alteram partem [administrative] sim=0.573,testatum clause [civil] sim=0.562,actus reus [criminal] sim=0.559,
ubi infra,下面述及,administrative,0.4286,actus reus [criminal] sim=0.620,civil service [administrative] sim=0.620,audi alteram partem [administrative] sim=0.619,ultra vires [administrative] sim=0.611,sovereign state [constitutional] sim=0.608,Comprehensive Social Security Assistance Scheme [labor_social] sim=0.603,pacta sunt servanda [international] sim=0.600,
vide supra,見上,administrative,0.4286,audi alteram partem [administrative] sim=0.658,ultra vires [administrative] sim=0.656,de son tort [civil] sim=0.635,novation [civil] sim=0.631,Nemo judex in causa sua [administrative] sim=0.626,trespass quare clausum fregit [civil] sim=0.623,res judicata [procedure] sim=0.621,
Assistant Returning Officers,助理選舉主任,administrative,0.4286,Electoral Registration Officer [constitutional] sim=0.750,appurtenant [civil] sim=0.642,Administrative Appeals Board [administrative] sim=0.637,Administrative Secretary [administrative] sim=0.636,administrative [administrative] sim=0.629,appellate court [procedure] sim=0.613,Official Trustee [civil] sim=0.611,
Civil Aid Services Unit,民眾安全服務隊單位,administrative,0.4286,civil service [administrative] sim=0.757,Comprehensive Social Security Assistance Scheme [labor_social] sim=0.631,Civil Service Regulations [administrative] sim=0.628,trade union [labor_social] sim=0.601,Electoral Registration Officer [constitutional] sim=0.580,administrative [administrative] sim=0.570,labour [labor_social] sim=0.569,
clerical,文書上的錯誤,administrative,0.4286,administrative [administrative] sim=0.744,testamentary [civil] sim=0.696,consular [international] sim=0.692,civil service [administrative] sim=0.683,contractual [civil] sim=0.682,Administrative Secretary [administrative] sim=0.677,labour [labor_social] sim=0.673,
Government Records Service,政府檔案處,administrative,0.4286,Government Laboratory [labor_social] sim=0.712,civil service [administrative] sim=0.652,Sexual Conviction Record Check Scheme [criminal] sim=0.620,Copyright Register [civil] sim=0.589,administrative [administrative] sim=0.585,admissible evidence [procedure] sim=0.584,Administrative Secretary [administrative] sim=0.578,
Official Administrator,遺產管理官,administrative,0.4286,administrative [administrative] sim=0.822,Official Trustee [civil] sim=0.780,Administrative Secretary [administrative] sim=0.766,Administrative Appeals Board [administrative] sim=0.653,appurtenant [civil] sim=0.644,employee [labor_social] sim=0.644,envoy [international] sim=0.642,
Judiciary Administrator,司法機構政務長,administrative,0.4286,administrative [administrative] sim=0.748,Administrative Secretary [administrative] sim=0.675,appurtenant [civil] sim=0.665,Administrative Appeals Board [administrative] sim=0.651,Official Trustee [civil] sim=0.649,prosecution [criminal] sim=0.642,res judicata [procedure] sim=0.637,
civil servant,公務員,administrative,0.4286,civil service [administrative] sim=0.917,Civil Service Regulations [administrative] sim=0.785,employee [labor_social] sim=0.723,consular [international] sim=0.701,employer [labor_social] sim=0.698,diplomatic [international] sim=0.682,administrative [administrative] sim=0.681,
Central Authorities,中央,administrative,0.4286,administrative [administrative] sim=0.701,civil service [administrative] sim=0.672,legislature [constitutional] sim=0.663,Civil Service Regulations [administrative] sim=0.634,congress [constitutional] sim=0.629,accession [international] sim=0.624,constitute [constitutional] sim=0.624,
causa causans,直接原因,administrative,0.2857,Nemo judex in causa sua [administrative] sim=0.650,inter vivos [civil] sim=0.566,de son tort [civil] sim=0.563,jus cogens [international] sim=0.563,criminality [criminal] sim=0.561,ultra vires [administrative] sim=0.559,mens rea [criminal] sim=0.559,
Chief Executive,行政長官（香港）,administrative,0.2857,Head of State [constitutional] sim=0.749,administrative [administrative] sim=0.674,employee [labor_social] sim=0.655,Director of Public Prosecutions; DPP [criminal] sim=0.623,Official Trustee [civil] sim=0.618,Administrative Secretary [administrative] sim=0.616,employer [labor_social] sim=0.609,
intra vires,在權限以內 ※比較 ultra vires,administrative,0.2857,ultra vires [administrative] sim=0.769,inter vivos [civil] sim=0.696,interlocutory [procedure] sim=0.637,Nemo judex in causa sua [administrative] sim=0.631,trespass quare clausum fregit [civil] sim=0.611,mens rea [criminal] sim=0.606,res judicata [procedure] sim=0.597,
res administrata,行政訴訟中的已判決事項,administrative,0.2857,res judicata [procedure] sim=0.808,administrative [administrative] sim=0.732,Administrative Secretary [administrative] sim=0.682,actus reus [criminal] sim=0.675,appurtenant [civil] sim=0.666,mens rea [criminal] sim=0.664,trespass quare clausum fregit [civil] sim=0.659,
ut supra,同上,administrative,0.2857,ultra vires [administrative] sim=0.655,audi alteram partem [administrative] sim=0.637,actus reus [criminal] sim=0.622,res judicata [procedure] sim=0.618,comity [international] sim=0.615,novation [civil] sim=0.613,jus cogens [international] sim=0.606,
vadium vivum,活質押〔以抵押物的收益（例如租金）償還抵押借款，借款清償後，抵押物復歸質押人的一種質押〕,administrative,0.2857,ultra vires [administrative] sim=0.596,Nemo judex in causa sua [administrative] sim=0.527,testatum clause [civil] sim=0.527,die intestate [civil] sim=0.525,Covenant [international] sim=0.503,covenant [international] sim=0.503,ex parte materna [procedure] sim=0.500,
vitium clerici,文書上的錯誤,administrative,0.2857,Nemo judex in causa sua [administrative] sim=0.562,de bonis testatoris ac si [civil] sim=0.551,trespass quare clausum fregit [civil] sim=0.548,ultra vires [administrative] sim=0.546,locus standi [procedure] sim=0.544,Rome Convention [international] sim=0.541,res judicata [procedure] sim=0.528,
Executive Director,執行董事,administrative,0.2857,Administrative Secretary [administrative] sim=0.691,administrative [administrative] sim=0.667,Official Trustee [civil] sim=0.633,Director of Public Prosecutions; DPP [criminal] sim=0.618,employee [labor_social] sim=0.610,Head of State [constitutional] sim=0.594,appurtenant [civil] sim=0.594,
Assistant Presiding Officer,助理投票站主任,administrative,0.2857,appurtenant [civil] sim=0.703,Administrative Secretary [administrative] sim=0.654,Electoral Registration Officer [constitutional] sim=0.637,administrative [administrative] sim=0.636,accomplice [criminal] sim=0.623,indictment [criminal] sim=0.619,aider by pleading over [procedure] sim=0.617,
Director-General of Communications,通訊事務總監,administrative,0.2857,Director of Public Prosecutions; DPP [criminal] sim=0.659,Head of State [constitutional] sim=0.606,Administrative Secretary [administrative] sim=0.594,Labour Department [labor_social] sim=0.584,Ombudsman [administrative] sim=0.583,consular [international] sim=0.579,diplomatic [international] sim=0.578,
executive,行政機關給予赦免,administrative,0.2857,administrative [administrative] sim=0.763,employee [labor_social] sim=0.732,Administrative Secretary [administrative] sim=0.723,employer [labor_social] sim=0.673,Head of State [constitutional] sim=0.670,appurtenant [civil] sim=0.660,Official Trustee [civil] sim=0.657,
HKSAR,特區,administrative,0.2857,Hong Kong Special Administrative Region [administrative] sim=0.739,Hong Kong Laboratory Accreditation Scheme [labor_social] sim=0.685,Hong Kong Bill of Rights [constitutional] sim=0.657,civil service [administrative] sim=0.605,Labour Department [labor_social] sim=0.597,People's Republic of China [constitutional] sim=0.594,consular [international] sim=0.592,
Hong Kong Police Reserve,香港後備警察,administrative,0.2857,Hong Kong Special Administrative Region [administrative] sim=0.620,Hong Kong Laboratory Accreditation Scheme [labor_social] sim=0.607,Hong Kong Bill of Rights [constitutional] sim=0.574,Residual Provident Fund Scheme [labor_social] sim=0.559,civil service [administrative] sim=0.554,martial law [constitutional] sim=0.550,probationary [criminal] sim=0.547,
North-west Transit Service Area,西北鐵路服務範圍,administrative,0.2857,Hong Kong Special Administrative Region [administrative] sim=0.554,labour [labor_social] sim=0.501,unleased land [civil] sim=0.495,administrative [administrative] sim=0.492,sub-lease [civil] sim=0.487,National People's Congress [constitutional] sim=0.486,multilateral [international] sim=0.484,
superintendent,院長,administrative,0.2857,administrative [administrative] sim=0.695,legislative [constitutional] sim=0.659,Administrative Secretary [administrative] sim=0.638,trustee [civil] sim=0.637,legislature [constitutional] sim=0.625,Official Trustee [civil] sim=0.621,probationer [criminal] sim=0.619,
Acting Chief Executive,署理行政長官,administrative,0.2857,Head of State [constitutional] sim=0.706,administrative [administrative] sim=0.666,Administrative Secretary [administrative] sim=0.630,Official Trustee [civil] sim=0.623,employee [labor_social] sim=0.616,appurtenant [civil] sim=0.606,Director of Public Prosecutions; DPP [criminal] sim=0.602,
Director of Administration,助理行政署長,administrative,0.2857,administrative [administrative] sim=0.801,Administrative Secretary [administrative] sim=0.767,Director of Public Prosecutions; DPP [criminal] sim=0.665,Official Trustee [civil] sim=0.643,Head of State [constitutional] sim=0.636,appurtenant [civil] sim=0.625,employee [labor_social] sim=0.621,
Director of Environmental Protection,環境保護署署長,administrative,0.2857,Director of Public Prosecutions; DPP [criminal] sim=0.679,Administrative Secretary [administrative] sim=0.594,Head of State [constitutional] sim=0.586,administrative [administrative] sim=0.579,Labour Department [labor_social] sim=0.575,Official Trustee [civil] sim=0.575,legislative [constitutional] sim=0.574,
abeyant property,無歸屬財產〔尚未確定物主的財產〕,civil,1.0,ex-tenant [civil] sim=0.727,leasehold [civil] sim=0.709,tenant [civil] sim=0.708,easement [civil] sim=0.706,sub-tenant [civil] sim=0.703,co-tenant [civil] sim=0.701,leaseholder [civil] sim=0.698,
abode,居籍,civil,1.0,tenant [civil] sim=0.754,landlord [civil] sim=0.725,co-tenant [civil] sim=0.720,tenantable [civil] sim=0.713,sub-tenant [civil] sim=0.694,under-lease [civil] sim=0.685,sitting tenant [civil] sim=0.676,
aliunde,來自其他方面,civil,1.0,pledgee [civil] sim=0.673,testate [civil] sim=0.635,bailment [civil] sim=0.622,die intestate [civil] sim=0.613,underlease [civil] sim=0.608,intestate [civil] sim=0.603,mortgagee [civil] sim=0.596,
